Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 44.74      0.85     0.85        1     0.85     1.86  push_relabel(int, int, ompi_communicator_t*, int, int, int, int*, int*)
 41.32      1.64     0.79 489736864     0.00     0.00  utils::idx(int, int, int)
  3.42      1.70     0.07 46064160     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  2.37      1.75     0.05                             frame_dummy
  2.11      1.79     0.04 32674965     0.00     0.00  int const& std::min<int>(int const&, int const&)
  1.32      1.81     0.03   243181     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int&>(int&)
  0.53      1.82     0.01  1139418     0.00     0.00  __gnu_cxx::__normal_iterator<InverseFlowPair*, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > >::__normal_iterator(InverseFlowPair* const&)
  0.53      1.83     0.01   462504     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >::push_back(InverseFlowPair const&)
  0.53      1.84     0.01   312540     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >::max_size() const
  0.53      1.85     0.01   162093     0.00     0.00  InverseFlowPair* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<InverseFlowPair>(InverseFlowPair const*, InverseFlowPair const*, InverseFlowPair*)
  0.53      1.86     0.01   150447     0.00     0.00  void std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >::_M_emplace_back_aux<InverseFlowPair const&>(InverseFlowPair const&)
  0.53      1.87     0.01    91298     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*>, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*>(std::move_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*>, std::move_iterator<std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*>, std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >*)
  0.53      1.88     0.01    91298     0.00     0.00  std::vector<InverseFlowPair, std::allocator<InverseFlowPair> >::vector(std::vector<InverseFlowPair, std::allocator<InverseFlowPair> > const&)
